Section,Group,Parameter Name,Description,Possible Values / Range
Voice Parameters,Algorithm,Algorithm Select,Selects the FM algorithm (routing of 6 operators),1 ~ 32
Voice Parameters,Algorithm,Feedback Level,Determines the amount of feedback for the operator with a feedback loop,0 ~ 7
Voice Parameters,Algorithm,Oscillator Key Sync,Determines whether the oscillator phase resets with each key press,"off, on"
Voice Parameters,Algorithm,Transpose,Transposes the pitch of the instrument relative to Middle C,C1 ~ C5
Voice Parameters,Algorithm,Voice Name,Sets the name of the voice patch,10 characters (large/upper or small/lower case mode)
Voice Parameters,Oscillator (Per-Op),Oscillator Mode,Determines if the frequency is a ratio or fixed frequency,"ratio, fixed"
Voice Parameters,Oscillator (Per-Op),Frequency Coarse,Sets the coarse frequency adjustment of the operator,Varies based on mode
Voice Parameters,Oscillator (Per-Op),Frequency Fine,Sets the fine frequency adjustment of the operator,Varies based on mode
Voice Parameters,Oscillator (Per-Op),Oscillator Detune,Detunes the operator relative to others for chorus effects,-7 ~ +7
Voice Parameters,Envelope Generator (Per-Op),Rate Scaling,Determines how much the envelope speed increases at higher pitches,0 ~ 7
Voice Parameters,Envelope Generator (Per-Op),EG Rates 1 ~ 4,Sets the 4 rates of the volume/amplitude envelope generator,0 ~ 99
Voice Parameters,Envelope Generator (Per-Op),EG Levels 1 ~ 4,Sets the 4 levels of the volume/amplitude envelope generator,0 ~ 99
Voice Parameters,Output Level & Scaling (Per-Op),Scaling Mode,Selects between normal keyboard scaling and detailed fractional scaling,"normal, fractional"
Voice Parameters,Output Level & Scaling (Per-Op),Output Level,Sets the output level (volume or modulation depth) of the operator,0 ~ 99
Voice Parameters,Output Level & Scaling (Per-Op),Break Point,Sets the key center point for keyboard level scaling,A-1 ~ C8 (by half steps)
Voice Parameters,Output Level & Scaling (Per-Op),Left Curve,Sets the keyboard scaling level curve shape to the left of break point,"-LIN, -EXP, +LIN, +EXP"
Voice Parameters,Output Level & Scaling (Per-Op),Right Curve,Sets the keyboard scaling level curve shape to the right of break point,"-LIN, -EXP, +LIN, +EXP"
Voice Parameters,Output Level & Scaling (Per-Op),Left Depth,Sets the level scaling depth to the left of the break point,0 ~ 99
Voice Parameters,Output Level & Scaling (Per-Op),Right Depth,Sets the level scaling depth to the right of the break point,0 ~ 99
Voice Parameters,Output Level & Scaling (Per-Op),Fractional Scaling Offset,Applies detailed offset in fractional scaling mode,-127 ~ +127
Voice Parameters,Output Level & Scaling (Per-Op),Fractional Scaling Level,Sets the explicit scaling volume per key range block,0 ~ 255
Voice Parameters,Sensitivity (Per-Op),Key Velocity Sensitivity,Determines how much the operator level responds to key strike velocity,0 ~ 7
Voice Parameters,Sensitivity (Per-Op),Amplitude Modulation Sensitivity,Sets operator level responsiveness to amplitude modulation (LFO),0 ~ 7
